document,title,category
 solving gauge invariant systems without gauge fixing the physical projector in 0 1 dimensional theories the projector onto gauge invariant physical states was recently constructed for arbitrary constrained systems this approach which does not require gauge fixing nor any additional degrees of freedom beyond the original ones  two characteristic features of all other available methods for quantising constrained dynamics  is put to work in the context of a general class of quantum mechanical gauge invariant systems the cases of so 2 and so 3 gauge groups are considered specifically and a comprehensive understanding of the corresponding physical spectra is achieved in a straightforward manner using only standard methods of coherent states and group theory which are directly amenable to generalisation to other lie algebras results extend by far the few examples available in the literature from much more subtle and delicate analyses implying gauge fixing and the characterization of modular space , solving gauge invariant systems without gauge fixing the physical projector in 0 1 dimensional theories,Mathematical Physics
 exact two particle matrix elements in s matrix preserving deformation of integrable qfts in a recent paper it was shown that the response of an integrable qft under variation of the unruh temperature can be computed from a s matrix preserving deformation of the form factor approach we give explicit expressions for the deformed two particle formfactors for various integrable models the sine gordon and su 2 thirring model several perturbed minimal cfts and the real coupling affine toda series a uniform pattern is found to emerge when both the s matrix and the deformed form factors are expressed in terms barnes  multi periodic functions , exact two particle matrix elements in s matrix preserving deformation of integrable qfts,Quantum Algebra
 introduction to pseudo group  this paper introduces the idea of pseudo group applications of pseudo groups in group theory and symmetry breaking in particle physics and cosmology are considered, introduction to pseudo group ,"Mathematical Physics, Group Theory"
 tree structures entropy and action principles for neighbourhood topologies  we recast the idea of decision trees as they emerge in information theory and complexity theory into a set theoretical language the result we call tree structures over a given set we identify all main structural elements of tree structures the most important of which is the tree function defined as a sum over certain quantities at every nod in the tree we show in detail that the minimization of the tree function on possibly constrained sets of tree structures renders the functional form of entropy or of wiener shannon information depending on the context we suggest three natural axioms defining tree structures which are valid also when the underlying set is infinite in this case the resulting trees are fractal like objects these axioms turn out to be related to the neighbourhood axioms describing neighbourhoods on a topological space in fact we will show that the paths in a tree structure  which are totally ordered subsets of a tree can be regarded as a countable neighbourhood basis which in turn defines a topology on the underlying set  the tree function then assigns nonnegative numbers to every neighbourhood topology on the underlying set that arises from a tree structure on the preferred topology this number becomes minimal in which case it represents an entropy like quantity this has the distinct flavour of an action principle  distinguishing certain topologies by means of minimization of the tree function this result hints at a deep relation between entropy like quantities and preferred neighbourhood topologies on sets , tree structures entropy and action principles for neighbourhood topologies ,"Mathematical Physics, General"
 yangians finite w algebras and the non linear schrodinger hierarchy  we show an algebra morphism between yangians and some finite w algebras this correspondence is nicely illustrated in the framework of the non linear schrodinger hierarchy for such a purpose we give an explicit realization of the yangian generators in terms of deformed oscillators , yangians finite w algebras and the non linear schrodinger hierarchy ,Quantum Algebra
 theoretical and phenomenological aspects of superstring theories  we discuss aspects of the heterotic string effective field theories in orbifold constructions of the heterotic string we calculate the moduli dependence of threshold corrections to gauge couplings in 2 2 symmetric orbifold compactifications we perform the calculation of the threshold corrections for a particular class of abelian 2 2 symmetric non decomposable orbifold models  internal twist is realized as generalized coxeter automorphism we define the limits for the existence of states causing singularities in the moduli space in the perturbative regime for a generic vacuum of the heterotic string the proof provides evidence for the explanation of the stringy higgs effect  furthermore we calculate the moduli dependence of threshold corrections as target space invariant free energies for non decomposable orbifolds identifying the hauptmodul functions for the relevant congruence subgroups the required solutions provide for the mu mass term generation in the effective low energy theory and affect the induced sypersymmetry breaking by gaugino condensation in addition we discuss the one loop gauge and gravitational couplings in 0 2 non decomposable orbifold compactifications in the second part of the thesis the one loop correction to the kahler metric for a generic n 2 orbifold compactification of the heterotic string is calculated  in this way with the use of the one loop string amplitudes the prepotential of the vector multiplets of the n 2 effective low energy heterotic string is calculated in decomposable toroidal compactifications of the heterotic string   this method provides the solution for the one loop correction to the prepotential of the vector multiplets of the heterotic string compactified on the k 3 times t 2  , theoretical and phenomenological aspects of superstring theories ,"Physics and Society, Algebraic"
 non trivial critical exponents for finite temperature chiral transitions at fixed total fermion number we analyze the finite temperature chiral restoration transition of the  d d 1  dimensional gross neveu model for the case of a large number of flavors and fixed total fermion number this leads to the study of the model with a nonzero imaginary chemical potential in this formulation of the theory  we have obtained that in the transition region the model is described by a chiral conformal field theory where the concepts of dimensional reduction and universality do apply due to a transmutation of statistics which makes fermions act as if they were bosons having zero energy this result should be generic for theories with dynamical symmetry breaking such as quantum chromodynamics , non trivial critical exponents for finite temperature chiral transitions at fixed total fermion number,Statistical Mechanics
 super matrix kdv and super generalized ns equations from self dual yang mills systems with supergauge groups uper matrix kdv and super generalized non linear schrodinger equations are shown to arise from a symmetry reduction of ordinary self dual yang mills equations with supergauge group, super matrix kdv and super generalized ns equations from self dual yang mills systems with supergauge groups,Exactly Solvable and Integrable
 calogero moser models iii elliptic potentials and twisting  universal lax pairs of the root type with spectral parameter and independent coupling constants for twisted non simply laced calogero moser models are constructed together with the lax pairs for the simply laced models and untwisted non simply laced models presented in two previous papers this completes the derivation of universal lax pairs for all of the calogero moser models based on root systems as for the twisted models based on b n c n and bc nroot systems a new type of potential term with independent coupling constants can be added without destroying integrability they are called extended twisted models all of the lax pairs for the twisted models presented here are new except for the one for the f 4 model based on the short roots  the lax pairs for the twisted g 2 model have some novel features derivation of various functions twisted and untwisted appearing in the lax pairs for elliptic potentials with the spectral parameter is provided the origin of the spectral parameter is also naturally explained the lax pairs with spectral parameter twisted and untwisted for the hyperbolic the trigonometric and the rational potential models are obtained as degenerate limits of those for the elliptic potential models , calogero moser models iii elliptic potentials and twisting ,"Mathematical Physics, Exactly"
 equivalence principle tunnelling quantized spectra and trajectories from the quantum hj equation  a basic aspect of the recently proposed approach to quantum mechanics is that no use of any axiomatic interpretation of the wave function is made in particular the quantum potential turns out to be an intrinsic potential energy of the particle which similarly to the relativistic rest energy is never vanishing this is related to the tunnel effect a consequence of the fact that the conjugate momentum field is real even in the classically forbidden regions  the quantum stationary hamilton jacobi equation is defined only if the ratio psi d psi of two real linearly independent solutions of the schroedinger equation and therefore of the trivializing map is a local homeomorphism of the extended real line into itself a consequence of the moebius symmetry of the schwarzian derivative in this respect we prove a basic theorem relating the request of continuity at spatial infinity of psi d psi a consequence of the q  1 q duality of the schwarzian derivative to the existence of l 2 r  solutions of the corresponding schroedinger equation as a result while in the conventional approach one needs the schroedinger equation with the l 2 r  condition consequence of the axiomatic interpretation of the wave function  the equivalence principle by itself implies a dynamical equation that does not need any assumption and reproduces both the tunnel effect and energy quantization , equivalence principle tunnelling quantized spectra and trajectories from the quantum hj equation ,"Mathematical Physics, Exactly"
