title,doc_id
Nuclear_Overhauser_effect Chemical_physics,0
Quantum_solvent Chemical_physics,1
Rovibrational_coupling Chemical_physics,2
Effective_field_theory Chemical_physics,3
Chemical_physics Chemical_physics,4
Rotational_transition Chemical_physics,5
Dynamic_nuclear_polarisation Chemical_physics,6
Knight_shift Chemical_physics,7
Polarizability Chemical_physics,8
Anisotropic_liquid Chemical_physics,9
Rotating_wave_approximation Chemical_physics,10
RRKM_theory Chemical_physics,11
Molecular_vibration Chemical_physics,12
Fuel_mass_fraction Chemical_physics,13
Electrostatic_deflection_(structural_element) Chemical_physics,14
Magic_angle_(EELS) Chemical_physics,15
Reactive_empirical_bond_order Chemical_physics,16
Photofragment-ion_imaging Chemical_physics,17
Molecular_beam Chemical_physics,18
McConnell_equation Chemical_physics,19
Ziff-Gulari-Barshad_model Chemical_physics,20
Empirical_formula Experimental_physics,21
Pauli_effect Experimental_physics,22
SLAC_National_Accelerator_Laboratory Experimental_physics,23
Newton's_laws_of_motion Experimental_physics,24
Uncertainty Experimental_physics,25
Ripple_tank Experimental_physics,26
Particle-induced_X-ray_emission Experimental_physics,27
Experimental_physics Experimental_physics,28
Complementary_experiments Experimental_physics,29
Elevator_paradox_(physics) Experimental_physics,30
Wave_tank Experimental_physics,31
Philosophical_interpretation_of_classical_physics Experimental_physics,32
X-ray_crystal_truncation_rod Experimental_physics,33
Faraday_cup_electrometer Experimental_physics,34
Line_source Experimental_physics,35
X-ray_standing_waves Experimental_physics,36
Point_source Experimental_physics,37
Einstein–de_Haas_effect Experimental_physics,38
List_of_Directors_General_of_CERN Experimental_physics,39
Fragment_separator Experimental_physics,40
Dynamic_mode_decomposition Experimental_physics,41
Euler's_laws_of_motion Experimental_physics,42
Holometer Experimental_physics,43
Quantum_oscillations_(experimental_technique) Experimental_physics,44
Bioinformatics Experimental_physics,45
Computational_biology Experimental_physics,46
Folding@home Experimental_physics,47
K-mer Experimental_physics,48
Journal_of_Computational_Biology Experimental_physics,49
Foldit Experimental_physics,50
Premier_Biosoft Experimental_physics,51
International_Society_for_Computational_Biology Experimental_physics,52
Louis_and_Beatrice_Laufer_Center_for_Physical_and_Quantitative_Biology Experimental_physics,53
Law_of_Maximum Experimental_physics,54
Enzyme_Function_Initiative Experimental_physics,55
SnoRNA_prediction_software Experimental_physics,56
Sepp_Hochreiter Experimental_physics,57
Aureus_Sciences Experimental_physics,58
IEEE/ACM_Transactions_on_Computational_Biology_and_Bioinformatics Experimental_physics,59
Knotted_protein Experimental_physics,60
BioUML Experimental_physics,61
De_novo_transcriptome_assembly Experimental_physics,62
